上櫃股票每日收盤行情(不含定價)
產業類別:所有證券(不含權證、牛熊證)
資料日期:114/08/27
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(張數),最後賣價,最後賣量(張數),發行股數 ,次日漲停價 ,次日跌停價
"2752","豆府","204.00","-1.00","204.50","204.50","203.00","31,000","6,315,000","27","204.00","4","205.00","2","26,693,861","224.00","184.00"
"2754","亞洲藏壽司","88.80","+0.50","88.50","89.10","87.70","45,000","3,988,900","35","88.80","1","88.90","1","46,867,000","97.60","80.00"
"2755","揚秦","164.00","-1.50","167.00","167.00","164.00","47,000","7,755,000","41","163.50","2","165.00","3","30,445,640","180.00","148.00"
"2756","聯發國際","101.00","0.00","102.00","102.00","100.00","29,000","2,931,000","28","101.00","2","101.50","16","24,597,584","111.00","90.90"
"2916","滿心","47.70","-0.30","48.00","48.00","47.65","70,000","3,343,300","30","47.70","1","47.85","1","64,626,878","52.40","42.95"
"2924","宏太-KY","----","---","----","----","----","0","0","0","26.50","1","30.00","2","52,035,934","30.55","25.05"
"2926","誠品生活","44.80","+0.40","44.60","44.80","44.60","6,000","267,900","6","43.80","1","44.30","1","47,389,650","49.25","40.35"
"2937","集雅社","41.95","-0.30","41.90","41.95","41.00","7,000","289,400","7","41.05","2","42.00","3","43,541,975","46.10","37.80"
"2941","米斯特","54.70","+0.20","55.50","55.50","54.00","14,000","768,700","5","53.20","1","54.70","1","15,390,000","60.10","49.25"
"2947","振宇五金","91.00","+0.50","90.00","91.70","90.00","7,000","636,900","6","89.00","1","91.00","1","21,195,460","100.00","81.90"
"2948","寶陞","38.35","-0.35","37.80","38.35","37.40","9,000","339,150","9","38.20","4","39.40","1","31,000,000","42.15","34.55"
"2949","欣新網","84.80","-0.10","84.90","84.90","82.20","5,000","419,100","5","82.90","1","84.90","1","25,410,000","93.20","76.40"
"3064","泰偉","52.90","0.00","52.90","52.90","52.90","7,000","370,300","3","51.00","1","54.40","1","13,011,451","58.10","47.65"
"3066","李洲","16.95","-0.05","17.00","17.20","16.95","110,000","1,873,050","87","16.95","16","17.10","1","83,070,612","18.60","15.30"
"3067","全域","19.35","-0.20","19.90","19.90","18.00","14,000","267,450","12","18.60","1","19.35","1","20,000,000","21.25","17.45"
"3071","協禧","26.25","+0.15","25.90","26.95","25.90","303,000","8,024,100","201","26.25","8","26.40","1","110,000,000","28.85","23.65"
"3073","天方能源","42.90","-0.45","43.90","44.20","42.90","167,000","7,262,100","147","42.85","1","42.90","2","37,099,556","47.15","38.65"
"3078","僑威","93.50","-0.50","95.70","95.70","93.20","3,638,000","341,982,600","2,648","93.50","10","93.60","5","227,391,064","102.50","84.20"
"3081","聯亞","466.00","+5.50","468.00","468.00","464.00","651,000","303,401,500","443","465.00","9","466.00","1","92,521,377","512.00","419.50"
"3083","網龍","33.80","-0.40","34.25","34.40","33.60","90,000","3,068,450","57","33.75","1","33.80","1","86,486,858","37.15","30.45"
"3085","新零售","----","---","----","----","----","0","0","0","16.05","1","16.40","1","69,019,288","18.00","14.80"
"3086","華義","161.00","+4.00","159.00","161.00","157.50","60,000","9,555,000","56","158.00","5","161.00","2","25,972,429","168.50","138.00"
